Condition,Accuracy,F1,ROC-AUC,Method,Fold
Baseline,0.7901630201630201,0.8123123722915582,0.8686132128740824,Baseline,
Baseline,0.7685413985413986,0.7879961833653948,0.8533387289039464,Standard,
Time Mask,0.7685413985413986,0.7879961833653948,0.8533387289039464,Standard,
Global Gaussian,0.773946803946804,0.792274258231705,0.8533537863103081,Standard,
Global Amplitude,0.7685413985413986,0.7879961833653948,0.8500971202710333,Standard,
Feature Gaussian,0.7572801372801373,0.784769440528377,0.8594601919819311,Standard,
Feature Amplitude,0.7574302874302874,0.7806516038385755,0.8533214128866302,Standard,
VAE,0.7517160017160018,0.7517159967160018,,VAE,
,0.8648648648648649,0.8387096774193549,,GAN,1.0
,0.6756756756756757,0.7391304347826086,,GAN,2.0
,0.7222222222222222,0.8,,GAN,3.0
,0.7428571428571429,0.7567567567567568,,GAN,4.0
,0.8888888888888888,0.9130434782608695,,GAN,5.0
