ablated_segment,n_samples_remaining,accuracy,f1,roc_auc,delta_accuracy,delta_f1,delta_roc_auc
0,7158,0.8258412588479402,0.8422655525204645,0.9054119166816467,[-0.00138974],[-0.00219977],-0.0027034294500685174
1,7158,0.8258661930016166,0.8425477536557683,0.9044354821466996,[-0.00136481],[-0.00191757],-0.00367986398501563
2,7158,0.8245301339208367,0.841550872111668,0.9060516585714714,[-0.00270087],[-0.00291445],-0.0020636875602437765
3,7158,0.8239735206523762,0.8402005292529194,0.9053035721310028,[-0.00325748],[-0.00426479],-0.0028117740007124192
4,7158,0.8229837074939278,0.8399720821662703,0.9042580866377824,[-0.00424729],[-0.00449324],-0.0038572594939327853
5,7158,0.8243933381333809,0.8413034088457131,0.9058330493429205,[-0.00283766],[-0.00316191],-0.0022822967887946577
6,7158,0.821652140320827,0.8388500774058965,0.9046696870898453,[-0.00557886],[-0.00561525],-0.0034456590418698863
7,7158,0.8248366823288984,0.8416792569061965,0.9046573229908865,[-0.00239432],[-0.00278607],-0.003458023140828659
8,7158,0.8250923007201585,0.8416867240212499,0.9063518336807755,[-0.0021387],[-0.0027786],-0.0017635124509396416
9,7158,0.82397254823809,0.8406044968046587,0.9052075034858899,[-0.00325845],[-0.00386083],-0.0029078426458253315
10,7158,0.8240917792048101,0.8409248492219046,0.904411726192046,[-0.00313922],[-0.00354047],-0.003703619939669167
11,7158,0.8249712654022942,0.8418127491267089,0.90553093645598,[-0.00225974],[-0.00265257],-0.0025844096757351442
12,7158,0.8235460015269009,0.8403874877385811,0.9045543379640257,[-0.003685],[-0.00407784],-0.00356100816768945
13,7158,0.8249290475571465,0.8416230496471778,0.9030501012322473,[-0.00230195],[-0.00284227],-0.005065244899467913
14,7158,0.8267700225531778,0.8435081508793838,0.9060229800247225,[-0.00046098],[-0.00095717],-0.0020923661069927046
15,7158,0.821711383543785,0.8391880778074576,0.9037860926976083,[-0.00551962],[-0.00527725],-0.004329253434106839
16,7158,0.8237331518288524,0.8406705400483432,0.9040822983775014,[-0.00349785],[-0.00379478],-0.004033047754213759
17,7158,0.8246733398707239,0.841866052992659,0.9042626087499777,[-0.00255766],[-0.00259927],-0.0038527373817375254
18,7160,0.8252722330679692,0.8416765920591065,0.9072746545860351,[-0.00195877],[-0.00278873],-0.0008406915456801167
19,7161,0.8232206601250391,0.8401995018626136,0.9059504416381854,[-0.00401034],[-0.00426582],-0.0021649044935297956
20,7161,0.8248911573251989,0.8417807072475455,0.904811575308584,[-0.00233984],[-0.00268462],-0.003303770823131158
21,7161,0.8236577377970674,0.8406307415197428,0.903468825646639,[-0.00357326],[-0.00383458],-0.004646520485076189
22,7161,0.8224148562367037,0.8393245600653177,0.9042267350447805,[-0.00481614],[-0.00514076],-0.0038886110869347235
23,7161,0.8233508058533754,0.8402846662731761,0.9046991093320168,[-0.0038802],[-0.00418066],-0.00341623679969838
24,7162,0.8240691242245985,0.8412873517626105,0.9054876907372522,[-0.00316188],[-0.00317797],-0.002627655394462969
25,7162,0.8261651141759507,0.843008723725221,0.9061585455244459,[-0.00106589],[-0.0014566],-0.0019568006072693267
26,7162,0.8193256856273805,0.8366928734149515,0.9037250340246988,[-0.00790532],[-0.00777245],-0.0043903121070163476
27,7162,0.8219931910932303,0.8390282442530619,0.9046680179525767,[-0.00523781],[-0.00543708],-0.003447328179138509
28,7162,0.8215812159085324,0.8388876858834127,0.9036674348615312,[-0.00564979],[-0.00557764],-0.004447911270183957
29,7187,0.813748222706948,0.8279903785917637,0.8896939287905601,[-0.01348278],[-0.01647494],-0.0184214173411551
